country_code,year,gdp_growth,employment_rate,gdp_per_capita,industry_value,collected_at,source
AUT,2010,1.8089826696085,57.348,46611.1393420232,26.0396419655738,2024-12-19 10:41:09.803621,World Bank
BEL,2010,2.71031141346458,49.588,44197.393671162,20.6595926026257,2024-12-19 10:41:09.803621,World Bank
BGR,2010,1.55535963462032,47.902,6863.66706774052,23.7541772436849,2024-12-19 10:41:09.803621,World Bank
CYP,2010,2.28354499702917,60.248,31105.02734375,14.4791152125979,2024-12-19 10:41:09.803621,World Bank
CZE,2010,2.71466511501851,54.186,20160.4355077059,32.7825374564339,2024-12-19 10:41:09.803621,World Bank
DEU,2010,4.14676754532437,55.232,42409.9356994694,26.0631254634833,2024-12-19 10:41:09.803621,World Bank
DNK,2010,1.58289702078196,58.579,58104.5445594981,19.3679354644121,2024-12-19 10:41:09.803621,World Bank
ESP,2010,0.0941223166682619,47.518,30658.7422282912,22.985948966945,2024-12-19 10:41:09.803621,World Bank
EST,2010,2.44974591575541,50.302,14663.7041018705,24.0345491849484,2024-12-19 10:41:09.803621,World Bank
FIN,2010,3.16828772325258,54.822,46506.2919016566,26.1853763280839,2024-12-19 10:41:09.803621,World Bank
FRA,2010,2.00032472699981,51.03,40694.8211697025,17.5945885002022,2024-12-19 10:41:09.803621,World Bank
GRC,2010,-5.69374120273665,46.193,26653.0488008626,15.0655277858101,2024-12-19 10:41:09.803621,World Bank
HRV,2010,-1.33408152400571,46.47,13731.2865213989,21.3656674685662,2024-12-19 10:41:09.803621,World Bank
HUN,2010,1.0762540427767,44.761,13217.5045951108,25.1999038169527,2024-12-19 10:41:09.803621,World Bank
IRL,2010,1.68297235056258,53.504,48679.4026820361,23.3319042137528,2024-12-19 10:41:09.803621,World Bank
ITA,2010,1.52910575728933,44.17,36184.7118698678,21.369080166955,2024-12-19 10:41:09.803621,World Bank
LTU,2010,0.427199033691366,46.259,11829.122609457,26.2116518144494,2024-12-19 10:41:09.803621,World Bank
LUX,2010,3.76041359255095,55.184,110885.991378721,10.997972653402,2024-12-19 10:41:09.803621,World Bank
LVA,2010,-3.6612590805494,47.41,11188.4191700977,20.8612025977954,2024-12-19 10:41:09.803621,World Bank
MLT,2010,6.1973451691119,46.317,21946.6069676515,17.4439389444509,2024-12-19 10:41:09.803621,World Bank
NLD,2010,1.31932023296244,61.604,51305.7338533973,18.9533173048512,2024-12-19 10:41:09.803621,World Bank
POL,2010,3.16892748258036,50.589,12567.7317676382,29.6974993930566,2024-12-19 10:41:09.803621,World Bank
